date,open,high,low,close,volume
2024-06-03,21.7,21.79,21.005,21.32,33876070.0
2024-06-04,21.05,22.26,21.04,22.1,41974047.0
2024-06-05,22.48,22.98,22.22,22.96,39825392.0
2024-06-06,22.98,23.95,22.98,23.79,60400366.0
2024-06-07,23.24,23.57,23.06,23.31,37149877.0
2024-06-10,22.75,23.16,22.66,23.13,31509278.0
2024-06-11,23.06,23.95,22.89,23.85,30601852.0
2024-06-12,24.2,24.33,23.57,23.77,38542724.0
2024-06-13,23.85,24.14,23.15,23.27,26035051.0
2024-06-14,23.15,23.72,22.84,23.57,26618284.0
2024-06-17,23.47,25.06,23.45,25.02,54101503.0
2024-06-18,25.15,26.025,24.83,25.82,54458580.0
2024-06-20,26.44,26.57,25.155,25.56,66734955.0
2024-06-21,24.71,26.09,23.53,23.84,69981578.0
2024-06-24,23.44,24.3874,23.3,24.16,36477408.0
2024-06-25,24.16,24.63,23.9201,24.56,29657245.0
2024-06-26,24.47,24.66,24.025,24.1,24331377.0
2024-06-27,24.1,25.4,24.05,25.22,37882859.0
2024-06-28,25.28,25.57,25.03,25.33,38886441.0
2024-07-01,25.48,26.02,25.1421,25.88,33167921.0
2024-07-02,25.84,26.43,25.75,25.83,32148242.0
2024-07-03,25.96,26.27,25.76,25.85,18433843.0
2024-07-05,26.0,27.25,25.975,27.23,46703729.0
2024-07-08,27.93,27.986,26.84,27.7,59611163.0
2024-07-09,27.93,28.38,27.23,27.39,53226526.0
2024-07-10,27.5,28.47,27.37,28.42,43231028.0
2024-07-11,28.49,28.59,26.9,27.64,61546057.0
2024-07-12,27.32,28.13,27.28,28.07,30760268.0
2024-07-15,28.42,29.3,27.9,28.67,49186345.0
2024-07-16,28.18,28.84,27.47,28.67,59330683.0
2024-07-17,28.0,28.87,27.6,28.22,45203461.0
2024-07-18,28.42,29.83,28.15,28.64,76485561.0
2024-07-19,28.31,29.6,28.27,28.58,49581636.0
2024-07-22,28.93,28.97,27.69,28.46,38037812.0
2024-07-23,28.34,29.19,28.31,28.81,31134262.0
2024-07-24,28.44,28.685,26.58,26.6,49004105.0
2024-07-25,26.04,27.288,25.42,26.63,45474613.0
2024-07-26,27.0,27.34,26.77,27.18,27432224.0
2024-07-29,27.56,27.8,26.73,27.08,26038842.0
2024-07-30,27.25,27.44,25.89,26.37,31819905.0
2024-07-31,27.02,27.39,26.88,26.89,29111605.0
2024-08-01,27.02,27.535,25.83,26.08,31189607.0
2024-08-02,24.75,24.87,23.75,24.74,56092591.0
2024-08-05,21.74,24.42,21.23,24.09,88023468.0
2024-08-06,27.05,27.42,25.57,26.59,99622681.0
2024-08-07,27.07,28.36,26.24,26.32,75975382.0
2024-08-08,27.04,29.375,26.69,29.28,96892918.0
2024-08-09,29.28,30.36,29.1,30.01,88131106.0
2024-08-12,30.22,31.2,29.27,29.38,67890322.0
2024-08-13,29.7887,30.8498,29.56,30.39,57294206.0
2024-08-14,30.62,31.37,30.33,31.0,49885641.0
2024-08-15,31.31,31.495,30.83,31.22,43407612.0
2024-08-16,31.04,32.75,30.98,32.08,64870638.0
2024-08-19,32.42,32.59,31.814,32.5,52353641.0
2024-08-20,32.5,32.72,31.63,32.32,40783010.0
2024-08-21,32.32,32.67,31.97,32.54,38147564.0
2024-08-22,32.55,33.125,31.85,31.92,43522223.0
2024-08-23,31.99,32.55,31.622,31.78,34121175.0
2024-08-26,31.43,31.74,30.79,30.85,35283625.0
2024-08-27,30.55,31.12,30.38,30.84,23541256.0
2024-08-28,30.62,30.8,29.75,30.36,33961370.0
2024-08-29,30.65,31.82,30.484,31.0,39732985.0
2024-08-30,31.05,31.5,30.7,31.48,42388023.0
2024-09-03,31.35,31.5892,30.165,30.51,34531596.0
2024-09-04,30.0,30.85,29.31,30.59,32838886.0
2024-09-05,30.24,30.74,30.01,30.16,24012331.0
2024-09-06,30.6,31.04,29.5,30.33,50946777.0
2024-09-09,32.7,34.7,32.47,34.6,140582494.0
2024-09-10,34.81,35.2,33.71,34.76,91720986.0
2024-09-11,34.01,34.87,33.62,34.85,68302252.0
2024-09-12,34.86,35.4,34.5308,34.91,54391843.0
2024-09-13,34.97,36.01,34.89,35.59,49727172.0
2024-09-16,35.78,36.92,35.56,36.31,74767329.0
2024-09-17,37.0,37.05,35.87,36.45,64461751.0
2024-09-18,35.9,37.11,35.8712,36.38,66279770.0
2024-09-19,37.0,37.35,36.2,36.83,59882041.0
2024-09-20,36.01,37.29,35.71,37.2,450290538.0
2024-09-23,36.86,38.19,36.57,37.95,79460737.0
2024-09-24,37.97,37.98,36.43,36.9,79519248.0
2024-09-25,36.89,37.18,36.3827,37.12,46511724.0
2024-09-26,37.26,37.44,36.6,37.1,48601992.0
2024-09-27,36.91,37.47,36.59,36.84,43219122.0
2024-09-30,36.58,37.32,36.15,37.2,42223553.0
2024-10-01,37.21,37.56,36.05,36.46,52858036.0
2024-10-02,36.3,37.68,36.145,37.49,34988906.0
2024-10-03,37.45,39.29,37.37,39.24,57196445.0
2024-10-04,39.65,40.29,39.4,40.01,62657545.0
2024-10-07,39.9,40.15,38.775,38.89,44124766.0
2024-10-08,39.29,41.49,39.015,41.45,62542945.0
2024-10-09,41.55,43.34,41.21,43.13,86404698.0
2024-10-10,42.92,43.8784,42.4101,43.52,62516314.0
2024-10-11,43.4,44.38,42.62,43.51,66206893.0
2024-10-14,43.72,44.39,43.28,43.4,41010910.0
2024-10-15,43.475,43.68,41.515,42.43,48296974.0
2024-10-16,42.4,42.49,40.36,41.93,59157938.0
2024-10-17,42.15,42.7,41.61,42.0,34028414.0
2024-10-18,42.015,42.99,41.65,42.97,33969020.0
2024-10-21,42.86,43.4,42.41,42.7,30719779.0
2024-10-22,42.69,43.49,42.3,42.94,27830734.0
2024-10-23,42.85,43.68,42.055,42.59,35646980.0
2024-10-24,42.89,43.73,42.66,43.56,34079557.0
2024-10-25,43.85,45.07,43.645,44.86,50416491.0
2024-10-28,45.05,45.14,44.68,44.97,36729700.0
2024-10-29,44.9,45.07,44.04,44.93,26154712.0
2024-10-30,44.58,44.8,43.61,43.69,31309232.0
2024-10-31,42.79,43.32,40.9,41.56,50973360.0
2024-11-01,41.93,42.57,41.59,41.92,33722521.0
2024-11-04,41.08,42.04,41.0315,41.41,75413298.0
2024-11-05,47.86,51.575,46.86,51.13,208868200.0
2024-11-06,53.44,55.69,51.61,55.53,114255943.0
2024-11-07,55.82,56.47,53.55,55.88,121591164.0
2024-11-08,55.57,58.48,55.3,58.39,84124034.0
2024-11-11,60.1325,62.08,58.69,60.24,108357795.0
2024-11-12,59.01,60.09,58.57,59.85,59061338.0
2024-11-13,61.52,63.39,59.85,60.7,85937360.0
2024-11-14,61.05,61.17,58.53,59.18,59968240.0
2024-11-15,61.01,66.0,60.91,65.77,155280388.0
2024-11-18,64.92,64.92,58.85,61.26,137877641.0
2024-11-19,59.51,63.01,59.265,62.98,75557817.0
2024-11-20,62.59,63.08,59.96,62.12,59182183.0
2024-11-21,62.04,63.4,60.895,61.36,56336740.0
2024-11-22,61.6,64.44,61.37,64.35,61381713.0
2024-11-25,66.9,67.88,64.08,64.65,80640465.0
2024-11-26,64.57,65.85,63.89,65.74,46923572.0
2024-11-27,66.24,67.56,64.24,66.05,53839900.0
2024-11-29,65.89,67.16,65.47,67.08,30104046.0
2024-12-02,67.44,67.88,65.96,66.39,46404971.0
2024-12-03,66.41,71.37,66.15,70.96,100751420.0
2024-12-04,71.13,71.18,67.28,69.85,86284801.0
2024-12-05,70.11,72.98,69.89,71.87,66585762.0
2024-12-06,72.95,76.82,72.28,76.34,93640902.0
2024-12-09,80.58,80.91,71.05,72.46,168134824.0
